 Ano        Pop         PIB     Gst pc   Cons      Bal    Tec   Pet    Ren      Cst_bar  Cst_pet   Cst_ren    Cst_tot     % util    % total

 2018    211930000     179.619  1438.0    30.5    0.000   455   0.40   0.60      44.60    0.32      0.16        6.80       9.46       3.78
 2019    213946000     178.157  1458.3    31.2   -0.814   461   0.34   0.66      49.98    0.36      0.16        7.07       9.91       3.97
 2020    215956000     178.133  1468.5    31.7   -0.014   462   0.32   0.68      66.59    0.48      0.16        8.20      11.50       4.60
 2021    217952992     177.357  1478.8    32.2   -0.435   463   0.30   0.70      88.70    0.63      0.15        9.58      13.50       5.40
 2022    219932992     177.710  1489.2    32.8    0.199   464   0.28   0.72     109.30    0.78      0.15       10.69      15.04       6.02
 2023    221892992     175.745  1499.7    33.3   -1.105   465   0.26   0.74     131.40    0.94      0.15       11.76      16.73       6.69
 2024    223832000     174.438  1510.2    33.8   -0.744   467   0.24   0.76     127.74    0.91      0.15       11.21      16.07       6.43
 2025    225751008     175.823  1520.8    34.3    0.794   468   0.22   0.78     162.51    1.16      0.15       12.79      18.18       7.27
 2026    227646000     174.854  1531.5    34.9   -0.551   469   0.21   0.79     174.24    1.24      0.15       12.99      18.57       7.43
 2027    229511008     173.245  1542.3    35.4   -0.920   470   0.19   0.81     221.67    1.58      0.15       14.86      21.45       8.58
 2028    231336992     174.301  1553.1    35.9    0.610   471   0.18   0.82     295.30    2.11      0.14       17.69      25.37      10.15
 2029    233111008     173.519  1564.0    36.5   -0.449   472   0.16   0.84     393.40    2.81      0.14       21.21      30.55      12.22
 2030    234824992     171.335  1575.0    37.0   -1.258   473   0.15   0.85     406.06    2.90      0.14       20.82      30.38      12.15
 2031    236474000     169.785  1586.1    37.5   -0.905   474   0.14   0.86     488.16    3.49      0.14       23.06      33.96      13.58
 2032    238060992     170.597  1597.2    38.0    0.479   475   0.13   0.87     660.08    4.71      0.14       28.20      41.33      16.53
 2033    239590000     168.989  1608.4    38.5   -0.943   476   0.12   0.88     839.75    6.00      0.14       32.93      48.72      19.49
 2034    241070000     168.006  1619.7    39.0   -0.582   477   0.11   0.89    1118.69    7.99      0.14       40.17      59.77      23.91
 2035    242508000     168.454  1631.1    39.6    0.266   478   0.11   0.89    1378.44    9.85      0.13       45.87      68.07      27.23
 2036    243904992     167.109  1642.6    40.1   -0.799   480   0.10   0.90    1863.90   13.31      0.13       57.10      85.42      34.17
 2037    245260992     165.427  1654.1    40.6   -1.007   481   0.09   0.91    2427.14   17.34      0.13       68.89     104.12      41.65
 2038    246580992     166.782  1665.7    41.1    0.819   482   0.08   0.92    3160.58   22.58      0.13       83.31     124.87      49.95
 2039    247866000     166.994  1677.4    41.6    0.128   483   0.08   0.92    3262.30   23.30      0.13       81.02     121.30      48.52
 2040    249120992     167.379  1689.2    42.1    0.230   484   0.07   0.93    4345.98   31.04      0.13      100.25     149.73      59.89
 2041    250348000     167.792  1701.1    42.6    0.247   485   0.07   0.93    5789.64   41.35      0.13      124.29     185.19      74.07
