 Ano        Pop         PIB     Gst pc   Cons      Bal    Tec   Pet    Ren      Cst_bar  Cst_pet   Cst_ren    Cst_tot     % util    % total

 2018    209803008     179.619  1438.0    30.2    0.000   455   0.40   0.60      44.60    0.32      0.16        6.73       9.36       3.75
 2019    210839008     178.157  1458.3    30.7   -0.814   461   0.34   0.66      49.98    0.36      0.16        6.96       9.77       3.91
 2020    211768992     178.133  1468.5    31.1   -0.014   462   0.32   0.68      66.59    0.48      0.16        8.04      11.28       4.51
 2021    212600000     177.357  1478.8    31.4   -0.435   463   0.30   0.70      88.70    0.63      0.15        9.34      13.17       5.27
 2022    213336992     177.710  1489.2    31.8    0.199   464   0.28   0.72     109.30    0.78      0.15       10.37      14.59       5.84
 2023    213980000     175.745  1499.7    32.1   -1.105   465   0.26   0.74     131.40    0.94      0.15       11.34      16.13       6.45
 2024    214531008     174.438  1510.2    32.4   -0.744   467   0.24   0.76     127.74    0.91      0.15       10.75      15.40       6.16
 2025    214988992     175.823  1520.8    32.7    0.794   468   0.22   0.78     162.51    1.16      0.15       12.18      17.32       6.93
 2026    215358000     174.854  1531.5    33.0   -0.551   469   0.21   0.79     174.24    1.24      0.15       12.29      17.57       7.03
 2027    215643008     173.245  1542.3    33.3   -0.920   470   0.19   0.81     221.67    1.58      0.15       13.97      20.15       8.06
 2028    215856000     174.301  1553.1    33.5    0.610   471   0.18   0.82     295.30    2.11      0.14       16.51      23.67       9.47
 2029    216011008     173.519  1564.0    33.8   -0.449   472   0.16   0.84     393.40    2.81      0.14       19.65      28.31      11.32
 2030    216118000     171.335  1575.0    34.0   -1.258   473   0.15   0.85     406.06    2.90      0.14       19.16      27.96      11.18
 2031    216182000     169.785  1586.1    34.3   -0.905   474   0.14   0.86     488.16    3.49      0.14       21.08      31.04      12.42
 2032    216203008     170.597  1597.2    34.5    0.479   475   0.13   0.87     660.08    4.71      0.14       25.61      37.53      15.01
 2033    216176992     168.989  1608.4    34.8   -0.943   476   0.12   0.88     839.75    6.00      0.14       29.71      43.96      17.58
 2034    216099008     168.006  1619.7    35.0   -0.582   477   0.11   0.89    1118.69    7.99      0.14       36.01      53.58      21.43
 2035    215962000     168.454  1631.1    35.2    0.266   478   0.11   0.89    1378.44    9.85      0.13       40.85      60.62      24.25
 2036    215768000     167.109  1642.6    35.4   -0.799   480   0.10   0.90    1863.90   13.31      0.13       50.51      75.57      30.23
 2037    215518000     165.427  1654.1    35.6   -1.007   481   0.09   0.91    2427.14   17.34      0.13       60.54      91.49      36.60
