 Ano        Pop         PIB     Gst pc   Cons      Bal    Tec   Pet    Ren      Cst_bar  Cst_pet   Cst_ren    Cst_tot     % util    % total

 2018    210867008     179.619  1438.0    30.3    0.000   455   0.40   0.60      44.60    0.32      0.16        6.76       9.41       3.76
 2019    212392000     178.157  1458.3    31.0   -0.814   461   0.34   0.66      49.98    0.36      0.16        7.01       9.84       3.94
 2020    213863008     178.133  1468.5    31.4   -0.014   462   0.32   0.68      66.59    0.48      0.16        8.12      11.39       4.56
 2021    215276992     177.357  1478.8    31.8   -0.435   463   0.30   0.70      88.70    0.63      0.15        9.46      13.33       5.33
 2022    216635008     177.710  1489.2    32.3    0.199   464   0.28   0.72     109.30    0.78      0.15       10.53      14.82       5.93
 2023    217936992     175.745  1499.7    32.7   -1.105   465   0.26   0.74     131.40    0.94      0.15       11.55      16.43       6.57
 2024    219180992     174.438  1510.2    33.1   -0.744   467   0.24   0.76     127.74    0.91      0.15       10.98      15.73       6.29
 2025    220370000     175.823  1520.8    33.5    0.794   468   0.22   0.78     162.51    1.16      0.15       12.48      17.75       7.10
 2026    221502000     174.854  1531.5    33.9   -0.551   469   0.21   0.79     174.24    1.24      0.15       12.64      18.07       7.23
 2027    222578000     173.245  1542.3    34.3   -0.920   470   0.19   0.81     221.67    1.58      0.15       14.41      20.80       8.32
 2028    223598000     174.301  1553.1    34.7    0.610   471   0.18   0.82     295.30    2.11      0.14       17.10      24.52       9.81
 2029    224562000     173.519  1564.0    35.1   -0.449   472   0.16   0.84     393.40    2.81      0.14       20.43      29.43      11.77
 2030    225472000     171.335  1575.0    35.5   -1.258   473   0.15   0.85     406.06    2.90      0.14       19.99      29.17      11.67
 2031    226326000     169.785  1586.1    35.9   -0.905   474   0.14   0.86     488.16    3.49      0.14       22.07      32.50      13.00
 2032    227126000     170.597  1597.2    36.3    0.479   475   0.13   0.87     660.08    4.71      0.14       26.91      39.43      15.77
 2033    227872000     168.989  1608.4    36.7   -0.943   476   0.12   0.88     839.75    6.00      0.14       31.32      46.33      18.53
 2034    228564000     168.006  1619.7    37.0   -0.582   477   0.11   0.89    1118.69    7.99      0.14       38.08      56.67      22.67
 2035    229202000     168.454  1631.1    37.4    0.266   478   0.11   0.89    1378.44    9.85      0.13       43.35      64.34      25.74
 2036    229787008     167.109  1642.6    37.7   -0.799   480   0.10   0.90    1863.90   13.31      0.13       53.80      80.48      32.19
 2037    230319008     165.427  1654.1    38.1   -1.007   481   0.09   0.91    2427.14   17.34      0.13       64.70      97.77      39.11
 2038    230799008     166.782  1665.7    38.4    0.819   482   0.08   0.92    3160.58   22.58      0.13       77.98     116.88      46.75
 2039    231226000     166.994  1677.4    38.8    0.128   483   0.08   0.92    3262.30   23.30      0.13       75.58     113.15      45.26
 2040    231600992     167.379  1689.2    39.1    0.230   484   0.07   0.93    4345.98   31.04      0.13       93.20     139.20      55.68
 2041    231924992     167.792  1701.1    39.5    0.247   485   0.07   0.93    5789.64   41.35      0.13      115.14     171.56      68.62
 2042    232196992     166.066  1713.0    39.8   -1.029   486   0.06   0.94    5802.28   41.44      0.13      108.35     163.11      65.24
 2043    232420000     165.396  1725.0    40.1   -0.403   487   0.06   0.94    7381.57   52.73      0.12      128.15     193.70      77.48
 2044    232595008     165.317  1737.2    40.4   -0.048   489   0.05   0.95    9390.71   67.08      0.12      151.70     229.41      91.76
 2045    232724000     167.017  1749.4    40.7    1.028   490   0.05   0.95   12510.14   89.36      0.12      187.95     281.33     112.53
 2046    232807008     165.335  1761.7    41.0   -1.007   491   0.05   0.95   12510.14   89.36      0.12      176.14     266.34     106.54
 2047    232844992     165.860  1774.0    41.3    0.318   492   0.04   0.96   12510.14   89.36      0.12      165.06     248.79      99.52
 2048    232836992     164.863  1786.5    41.6   -0.601   493   0.04   0.96   12510.14   89.36      0.12      154.66     234.53      93.81
 2049    232784992     162.807  1799.0    41.9   -1.247   494   0.04   0.96   12510.14   89.36      0.12      144.91     222.52      89.01
 2050    232688000     163.109  1811.7    42.2    0.186   495   0.03   0.97   12510.14   89.36      0.12      135.77     208.09      83.24
 2051    232546000     164.744  1824.4    42.4    1.002   496   0.03   0.97   12510.14   89.36      0.11      127.19     193.02      77.21
 2052    232360000     165.781  1837.2    42.7    0.629   498   0.03   0.97   12510.14   89.36      0.11      119.16     179.69      71.88
 2053    232130000     165.865  1850.1    42.9    0.051   499   0.03   0.97   12510.14   89.36      0.11      111.62     168.25      67.30
 2054    231856000     164.471  1863.1    43.2   -0.841   500   0.03   0.97   12510.14   89.36      0.11      104.55     158.91      63.57
 2055    231536992     164.409  1876.2    43.4   -0.038   501   0.02   0.98   12510.14   89.36      0.11       97.91     148.89      59.55
 2056    231174000     163.062  1889.4    43.7   -0.819   502   0.02   0.98   12510.14   89.36      0.11       91.70     140.59      56.24
 2057    230767008     162.216  1902.7    43.9   -0.519   503   0.02   0.98   12510.14   89.36      0.11       85.88     132.35      52.94
 2058    230318000     163.605  1916.0    44.1    0.856   505   0.02   0.98   12510.14   89.36      0.10       80.43     122.90      49.16
 2059    229826000     165.863  1929.5    44.3    1.380   506   0.02   0.98   12510.14   89.36      0.10       75.32     113.53      45.41
 2060    229292992     167.134  1943.0    44.6    0.766   507   0.02   0.98   12510.14   89.36      0.10       70.54     105.51      42.20
 2061    228719008     169.168  1956.7    44.8    1.217   508   0.02   0.98   12510.14   89.36      0.10       66.06      97.63      39.05
 2062    228106000     170.290  1970.4    44.9    0.663   509   0.01   0.99   12510.14   89.36      0.10       61.88      90.84      36.34
 2063    227452992     169.540  1984.3    45.1   -0.440   510   0.01   0.99   12510.14   89.36      0.10       57.96      85.46      34.18
 2064    226763008     170.487  1998.2    45.3    0.559   512   0.01   0.99   12510.14   89.36      0.10       54.29      79.61      31.84
 2065    226036000     171.371  2012.2    45.5    0.519   513   0.01   0.99   12510.14   89.36      0.09       50.86      74.20      29.68
 2066    225274000     169.794  2026.4    45.6   -0.920   514   0.01   0.99   12510.14   89.36      0.09       47.65      70.16      28.06
 2067    224476992     171.775  2040.6    45.8    1.166   515   0.00   1.00   12510.14   89.36      0.09        4.21       6.13       2.45
 2068    223647008     171.130  2055.0    46.0   -0.375   516   0.00   1.00   12510.14   89.36      0.09        4.17       6.09       2.44
 2069    222786000     170.114  2069.4    46.1   -0.594   517   0.00   1.00   12510.14   89.36      0.09        4.12       6.06       2.42
 2070    221895008     169.142  2083.9    46.2   -0.571   519   0.00   1.00   12510.14   89.36      0.09        4.08       6.03       2.41
 2071    220975008     168.587  2098.6    46.4   -0.328   520   0.00   1.00   12510.14   89.36      0.09        4.03       5.98       2.39
 2072    220028992     169.392  2113.3    46.5    0.477   521   0.00   1.00   12510.14   89.36      0.09        3.99       5.88       2.35
 2073    219058000     170.659  2128.2    46.6    0.748   522   0.00   1.00   12510.14   89.36      0.08        3.94       5.77       2.31
 2074    218064992     170.036  2143.1    46.7   -0.365   523   0.00   1.00   12510.14   89.36      0.08        3.89       5.73       2.29
 2075    217052992     170.219  2158.2    46.8    0.108   525   0.00   1.00   12510.14   89.36      0.08        3.85       5.65       2.26
 2076    216023008     169.971  2173.3    46.9   -0.146   526   0.00   1.00   12510.14   89.36      0.08        3.80       5.59       2.24
 2077    214976992     169.139  2188.6    47.0   -0.489   527   0.00   1.00   12510.14   89.36      0.08        3.76       5.56       2.22
 2078    213916992     171.203  2204.0    47.1    1.220   528   0.00   1.00   12510.14   89.36      0.08        3.71       5.42       2.17
 2079    212844992     169.746  2219.4    47.2   -0.851   530   0.00   1.00   12510.14   89.36      0.08        3.67       5.40       2.16
 2080    211763008     169.580  2235.0    47.3   -0.098   531   0.00   1.00   12510.14   89.36      0.08        3.62       5.34       2.14
 2081    210671008     170.491  2250.7    47.4    0.537   532   0.00   1.00   12510.14   89.36      0.08        3.58       5.25       2.10
 2082    209572000     169.163  2266.5    47.5   -0.779   533   0.00   1.00   12510.14   89.36      0.07        3.54       5.23       2.09
